papel,segmento,cotacao,ffo_yield,dividend_yield,p_vp,valor_mercado,liquidez,qtd_imovel,preco_m2,aluguel_m2,cap_rate,vacancia_media
TMPS11,Títulos e Val. Mob.,98.38,7.82,7.25,0.95,96310900.0,122418.0,0,0.0,0.0,0.0,0.0
TORD11,Híbrido,2.17,1.48,4.1,0.17,76061400.0,137820.0,1,512.65,0.0,0.0,0.0
TOUR11,Residencial,8.8,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0
TRBL11,Logística,97.0,10.13,4.37,1.02,620320000.0,761109.0,6,1772.65,243.66,13.75,0.62
TRNT11,Lajes Corporativas,126.09,4.21,3.59,0.64,496235000.0,15409.0,1,7827.37,585.69,7.48,42.4
TRXB11,Híbrido,150.0,7.14,8.41,1.38,429142000.0,729.0,12,4535.89,486.02,10.71,0.0
TRXF11,Híbrido,112.27,7.76,9.54,1.08,1489820000.0,7514970.0,29,3190.91,326.83,10.24,0.0
TRXL11,Híbrido,103.38,5.73,0.0,1.04,2945570000.0,0.0,20,4275.55,304.94,7.13,4.4
TSER11,Lajes Corporativas,100.0,11.15,10.77,0.97,128488000.0,117.0,1,2667.76,235.0,8.81,0.0
TSNC11,Híbrido,0.01,53586.56,12519.2,0.0,10868.0,0.0,2,6.35,4326.81,68126.83,0.85
TVRI11,Lajes Corporativas,97.45,10.27,2.75,0.98,1551370000.0,1081750.0,63,4014.52,456.8,11.38,0.0
UBSR11,Títulos e Val. Mob.,102.5,10.15,0.0,1.07,2710270000.0,0.0,1,49653.1,0.0,0.0,100.02
URPR11,Outros,88.31,15.02,14.07,0.86,1031040000.0,2805430.0,0,0.0,0.0,0.0,0.0
VCJR11,Títulos e Val. Mob.,93.29,12.78,11.07,0.96,1373600000.0,1898250.0,0,0.0,0.0,0.0,0.0
VCRA11,Títulos e Val. Mob.,94.05,13.3,14.31,0.91,432058000.0,921020.0,0,0.0,0.0,0.0,0.0
VCRI11,Títulos e Val. Mob.,8.61,10.94,12.55,0.89,153028000.0,312253.0,0,0.0,0.0,0.0,0.0
VCRR11,Logística,68.05,11.91,11.58,0.53,136100000.0,286801.0,4,2369.27,27.33,1.15,0.0
VERE11,Outros,257.0,12.34,10.77,0.7,154536000.0,0.0,4,961.67,174.52,18.15,16.52
VGHF11,Híbrido,9.5,6.47,12.64,1.03,894785000.0,3530060.0,0,0.0,0.0,0.0,0.0
VGIA11,Títulos e Val. Mob.,9.0,16.68,15.86,0.93,778096000.0,4115690.0,0,0.0,0.0,0.0,0.0
VGII11,Títulos e Val. Mob.,101.41,0.0,0.92,1.01,40564000.0,605987.0,0,0.0,0.0,0.0,0.0
VGIP11,Títulos e Val. Mob.,89.9,10.47,11.12,0.96,1059670000.0,1862260.0,0,0.0,0.0,0.0,0.0
VGIR11,Títulos e Val. Mob.,9.86,14.06,13.57,1.01,1017760000.0,4727090.0,0,0.0,0.0,0.0,0.0
